t,q0,q1,q2,q3,b1,b2,b3
0.0000000000,0.9999945760,0.0021619063,-0.0018734365,-0.0016465995,-0.0000000270,0.0000000235,0.0000000206
0.0099999998,0.9999973774,0.0010741747,-0.0020110633,0.0001955783,0.0000017958,-0.0000261342,-0.0000457378
0.0199999996,0.9999806285,0.0046647438,0.0032856558,-0.0025047977,-0.0000261824,-0.0002960651,-0.0000420731
0.0299999993,0.9999778271,0.0048230318,0.0043113679,-0.0016116765,-0.0000386428,-0.0004030473,-0.0001388309
0.0399999991,0.9999828935,0.0045481897,0.0033502639,-0.0015688441,-0.0000342588,-0.0003082455,-0.0001205361
0.0500000007,0.9999814630,0.0046740039,0.0034977449,-0.0017328662,-0.0000422535,-0.0003189259,-0.0001067380
0.0599999987,0.9999747872,0.0053251777,0.0035199060,-0.0031231246,-0.0000867607,-0.0002965783,0.0000341074
0.0700000003,0.9999669194,0.0059052454,0.0042400751,-0.0036432832,-0.0001359654,-0.0003709802,0.0000803684
0.0799999982,0.9999649525,0.0061366665,0.0040522674,-0.0040075728,-0.0001600574,-0.0003437662,0.0001218117
0.0900000036,0.9999793768,0.0051960237,0.0024405168,-0.0028884744,-0.0000718990,-0.0001610947,0.0000058299
0.1000000015,0.9999876618,0.0044168509,-0.0015148689,-0.0017209017,-0.0000059745,0.0003132114,-0.0001158680
0.1099999994,0.9999907613,0.0035643450,-0.0023875793,0.0002587412,0.0000853379,0.0004097325,-0.0003488024
0.1199999973,0.9999893308,0.0039504832,-0.0022957437,-0.0006711339,0.0000435656,0.0004018737,-0.0002358712
0.1299999952,0.9999861717,0.0039451616,-0.0032305385,-0.0012958879,0.0000440498,0.0005193374,-0.0001567610
0.1400000006,0.9999827743,0.0038948175,-0.0040205922,-0.0017651817,0.0000504894,0.0006207289,-0.0000965630
0.1500000060,0.9999833703,0.0042318520,-0.0033566123,-0.0020431736,0.0000106178,0.0005395843,-0.0000622079
0.1599999964,0.9999780655,0.0045937290,-0.0036920491,-0.0030176155,-0.0000310260,0.0005851053,0.0000591062
0.1700000018,0.9999814630,0.0034800542,-0.0048779836,-0.0011294470,0.0001027178,0.0007299692,-0.0001734398
0.1800000072,0.9999777675,0.0041689151,-0.0044036396,-0.0027687633,0.0000209588,0.0006741059,0.0000298359
0.1899999976,0.9999806881,0.0046585966,-0.0030760451,-0.0027320960,-0.0000380756,0.0005081853,0.0000263858
0.2000000030,0.9999863505,0.0051466594,0.0009888606,0.0000683467,-0.0000990714,0.0000037811,-0.0003185633
0.2099999934,0.9999762774,0.0061352658,0.0031281107,-0.0000650212,-0.0002220952,-0.0002630171,-0.0003000975
0.2199999988,0.9999808669,0.0051510590,0.0025105309,0.0023405959,-0.0001005534,-0.0001881358,-0.0005986912
0.2300000042,0.9999763966,0.0051007895,0.0034805120,0.0030190481,-0.0000964135,-0.0003078759,-0.0006834073
0.2399999946,0.9999780059,0.0052734544,0.0032640572,0.0023769133,-0.0001173252,-0.0002794592,-0.0006048175
0.2500000000,0.9999758005,0.0046578012,0.0033604095,0.0039224308,-0.0000408541,-0.0002931144,-0.0007954323
0.2599999905,0.9999708533,0.0052516437,0.0044963332,0.0032392356,-0.0001128735,-0.0004321428,-0.0007091950
0.2700000107,0.9999639988,0.0060767531,0.0054855780,0.0022428522,-0.0002168694,-0.0005526950,-0.0005837925
0.2800000012,0.9999598861,0.0067569986,0.0057454291,0.0012696027,-0.0003010196,-0.0005816136,-0.0004621352
0.2899999917,0.9999708533,0.0061317594,0.0041452171,0.0018692858,-0.0002232335,-0.0003850217,-0.0005363408
0.3000000119,0.9999881983,0.0039744703,0.0026396294,-0.0009578270,0.0000439206,-0.0001971169,-0.0001838200
0.3100000024,0.9999963045,0.0021465586,0.0011477048,-0.0012431104,0.0002715957,-0.0000096551,-0.0001484143
0.3199999928,0.9999996424,-0.0001037459,-0.0008048227,0.0004696504,0.0005492587,0.0002326151,-0.0003581756
0.3300000131,0.9999984503,-0.0004976182,-0.0014963460,-0.0008067318,0.0005966764,0.0003192044,-0.0001975009
0.3400000036,0.9999986291,-0.0009059631,-0.0013112525,-0.0004821476,0.0006455146,0.0002981995,-0.0002366812
0.3499999940,0.9999986887,-0.0003923401,-0.0005095818,-0.0014917864,0.0005820097,0.0001994839,-0.0001109138
