t,q0,q1,q2,q3,b1,b2,b3
0.0000000000,0.9999945544,0.0021622257,-0.0018724147,-0.0016461948,-0.0000000270,0.0000000235,0.0000000206
0.0100000000,0.9999973824,0.0010743082,-0.0020106423,0.0001957170,0.0000017978,-0.0000261101,-0.0000457198
0.0200000000,0.9999805842,0.0046648275,0.0032858642,-0.0025047483,-0.0000261797,-0.0002960251,-0.0000420445
0.0300000000,0.9999777756,0.0048230691,0.0043114861,-0.0016116703,-0.0000386375,-0.0004029992,-0.0001387960
0.0400000000,0.9999828137,0.0045482107,0.0033503383,-0.0015688476,-0.0000342526,-0.0003081930,-0.0001204992
0.0500000000,0.9999814579,0.0046740168,0.0034977853,-0.0017328790,-0.0000422469,-0.0003188696,-0.0001066996
0.0600000000,0.9999747489,0.0053251878,0.0035199202,-0.0031231442,-0.0000867541,-0.0002965191,0.0000341469
0.0700000000,0.9999669375,0.0059052510,0.0042400857,-0.0036432979,-0.0001359583,-0.0003709207,0.0000804075
0.0800000000,0.9999649292,0.0061366601,0.0040522921,-0.0040075738,-0.0001600489,-0.0003437087,0.0001218492
0.0900000000,0.9999793508,0.0051960123,0.0024405348,-0.0028884750,-0.0000718901,-0.0001610365,0.0000058675
0.1000000000,0.9999876175,0.0044168528,-0.0015148712,-0.0017209075,-0.0000059673,0.0003132719,-0.0001158298
0.1100000000,0.9999907639,0.0035643547,-0.0023875791,0.0002587412,0.0000853441,0.0004097927,-0.0003487651
0.1200000000,0.9999893363,0.0039504888,-0.0022957528,-0.0006711431,0.0000435724,0.0004019350,-0.0002358329
0.1300000000,0.9999861597,0.0039451847,-0.0032305584,-0.0012958967,0.0000440544,0.0005194000,-0.0001567228
0.1400000000,0.9999827744,0.0038948333,-0.0040206081,-0.0017651926,0.0000504949,0.0006207909,-0.0000965246
0.1500000000,0.9999833247,0.0042318627,-0.0033566345,-0.0020431920,0.0000106239,0.0005396471,-0.0000621686
0.1600000000,0.9999780798,0.0045937336,-0.0036920710,-0.0030176354,-0.0000310193,0.0005851679,0.0000591457
0.1700000000,0.9999814092,0.0034800579,-0.0048779939,-0.0011294568,0.0001027246,0.0007300304,-0.0001734015
